t,setpoint,omega,u
0.4620,200.0000,200.4902,6.3865
0.4630,200.0000,200.4895,6.3864
0.4640,200.0000,200.4887,6.3862
0.4650,200.0000,200.4875,6.3860
0.4660,200.0000,200.4866,6.3862
0.4670,200.0000,200.4859,6.3861
0.4680,200.0000,200.4846,6.3859
0.4690,200.0000,200.4838,6.3861
0.4700,200.0000,200.4830,6.3860
0.4710,200.0000,200.4819,6.3858
0.4720,200.0000,200.4811,6.3860
0.4730,200.0000,200.4803,6.3859
0.4740,200.0000,200.4789,6.3857
0.4750,200.0000,200.4780,6.3861
0.4760,200.0000,200.4772,6.3860
0.4770,200.0000,200.4765,6.3858
0.4780,200.0000,200.4757,6.3856
0.4790,200.0000,200.4742,6.3855
0.4800,200.0000,200.4733,6.3860
0.4810,200.0000,200.4726,6.3860
0.4820,200.0000,200.4718,6.3858
0.4830,200.0000,200.4710,6.3856
0.4840,200.0000,200.4698,6.3854
0.4850,200.0000,200.4689,6.3857
0.4860,200.0000,200.4682,6.3856
0.4870,200.0000,200.4674,6.3855
0.4880,200.0000,200.4661,6.3853
0.4890,200.0000,200.4653,6.3857
0.4900,200.0000,200.4645,6.3856
0.4910,200.0000,200.4637,6.3854
0.4920,200.0000,200.4630,6.3853
0.4930,200.0000,200.4615,6.3851
0.4940,200.0000,200.4606,6.3857
0.4950,200.0000,200.4599,6.3856
0.4960,200.0000,200.4591,6.3854
0.4970,200.0000,200.4583,6.3853
0.4980,200.0000,200.4576,6.3851
0.4990,200.0000,200.4562,6.3850
